CGPA,IQ,Communication,Programming,Internship,Projects,Attendance,Placement
8.83,85,4,10,0,6,83,1
9.12,83,5,2,1,2,63,1
8.7,127,3,6,2,3,73,1
9.17,137,1,3,3,5,60,1
5.3,81,2,8,0,2,66,1
5.19,82,6,10,0,3,100,1
7.44,130,5,5,2,0,73,1
9.72,100,7,7,3,1,83,1
8.09,86,6,5,3,0,91,1
6.37,129,7,8,0,3,68,1
9.28,99,4,10,1,0,67,1
8.95,85,10,1,3,2,91,1
9.96,129,4,6,0,6,79,1
5.46,102,2,2,1,3,74,0
5.09,108,2,4,0,6,72,1
8.31,112,7,4,3,1,78,1
8.22,81,3,1,0,5,88,1
7.64,105,10,2,1,5,88,1
7.69,85,2,3,2,4,63,1
9.9,84,5,5,2,1,81,1
9.63,94,6,4,0,4,95,1
9.93,119,7,6,2,2,96,1
6.39,103,4,6,1,0,73,1
7.17,130,7,6,2,3,92,1
9.27,91,2,6,1,5,62,1
7.9,128,9,10,3,2,84,1
7.33,100,2,2,1,5,98,1
8.39,88,3,9,1,1,78,1
9.12,110,5,3,0,3,69,1
9.29,125,9,7,2,5,93,1
6.8,126,9,4,3,1,63,1
6.84,85,1,8,3,5,60,1
10.0,84,4,1,0,2,91,1
8.84,86,2,9,3,3,89,1
8.62,120,7,4,3,1,77,1
9.1,135,7,3,3,1,84,1
5.08,134,9,8,2,4,98,1
8.51,139,4,6,0,6,74,1
9.16,106,2,6,0,1,80,1
6.92,106,7,3,3,1,96,1
8.72,125,1,6,2,1,83,1
7.12,130,5,1,1,0,95,1
5.18,117,1,9,2,2,73,1
7.98,129,2,3,3,0,89,1
8.15,123,5,2,0,1,87,1
9.25,93,2,6,0,1,71,1
8.73,89,4,7,0,3,94,1
8.51,82,7,7,0,6,83,1
7.7,133,4,8,3,2,98,1
8.02,85,6,1,2,3,84,1
7.16,136,5,1,1,2,66,1
5.2,87,6,2,3,4,86,1
7.38,107,6,7,1,2,90,1
7.09,80,9,2,3,2,78,1
7.13,123,5,6,0,0,62,1
5.57,89,8,2,3,1,80,1
7.29,118,8,1,0,4,72,1
9.47,98,9,5,2,4,81,1
5.59,116,10,6,3,2,94,1
6.95,87,1,2,1,5,82,1
9.88,130,7,5,2,0,68,1
6.41,108,5,1,1,5,63,1
6.96,98,6,3,3,4,66,1
8.37,113,10,8,1,4,92,1
6.22,92,4,10,1,2,94,1
9.72,102,8,6,1,6,97,1
9.59,113,10,6,1,0,77,1
5.37,104,4,6,0,5,92,1
7.52,140,5,10,0,2,65,1
8.49,117,10,4,3,6,66,1
7.04,83,1,4,2,4,96,1
7.13,138,5,3,2,5,100,1
7.77,123,6,7,2,0,81,1
5.15,93,5,5,1,1,77,1
5.4,122,7,5,1,0,99,1
8.96,102,4,9,0,3,98,1
8.59,133,3,7,2,3,75,1
8.85,132,2,9,1,0,93,1
6.02,122,10,1,2,5,86,1
7.77,105,6,2,0,5,75,1
8.86,114,9,5,2,1,87,1
5.67,81,5,4,0,0,69,0
6.09,90,5,1,0,0,78,0
9.6,107,10,1,0,6,71,1
7.12,113,2,9,0,0,99,1
6.69,109,3,3,1,5,77,1
6.15,88,4,5,0,6,87,1
6.26,131,9,7,3,3,86,1
7.92,134,3,6,0,4,63,1
7.07,104,1,8,0,0,76,1
6.98,94,3,7,3,4,81,1
8.28,92,8,5,1,4,86,1
7.72,127,10,10,1,5,85,1
7.36,109,2,8,0,5,85,1
6.74,133,9,9,1,1,62,1
6.03,115,10,1,0,5,97,1
9.24,124,2,8,1,6,97,1
8.3,119,9,7,2,2,93,1
8.99,138,6,10,3,2,99,1
6.59,128,8,6,2,6,93,1
6.14,125,2,10,0,6,74,1
6.33,126,3,3,3,4,95,1
5.86,125,6,4,2,3,69,1
9.5,103,2,6,2,2,66,1
5.78,121,7,3,2,2,70,1
9.06,95,9,8,1,0,96,1
7.7,81,9,1,1,5,84,1
7.02,105,6,8,0,1,89,1
9.79,83,5,2,2,4,79,1
6.11,93,8,2,1,2,73,1
9.63,98,10,8,2,3,69,1
7.88,101,10,1,3,0,70,1
8.12,115,2,10,3,3,90,1
6.7,114,5,5,1,1,67,1
9.61,86,1,8,2,1,60,1
6.04,127,6,6,3,6,99,1
5.14,110,3,10,3,2,100,1
8.8,139,3,10,2,0,75,1
5.48,134,8,4,3,6,89,1
8.51,114,2,2,3,0,96,1
6.51,82,9,7,3,2,90,1
7.54,130,1,6,3,0,100,1
9.5,135,1,9,3,3,96,1
8.59,112,9,7,0,4,77,1
5.23,115,3,10,0,2,65,1
6.85,111,9,7,1,0,87,1
6.75,114,7,10,2,0,92,1
6.66,134,7,8,0,5,94,1
8.92,87,2,1,0,2,82,1
8.75,120,9,6,2,6,72,1
5.51,126,8,7,1,4,87,1
9.05,80,8,9,1,1,88,1
9.03,113,9,1,3,5,87,1
6.94,128,4,4,3,4,70,1
5.08,119,2,4,1,1,72,1
5.69,127,6,9,2,5,88,1
8.03,111,10,4,0,5,91,1
9.37,102,7,3,3,1,100,1
8.08,105,3,3,0,5,94,1
8.44,129,4,10,1,2,61,1
8.4,91,9,7,0,3,96,1
5.88,107,2,5,3,0,90,1
5.14,135,4,4,2,2,66,1
7.33,108,6,7,0,4,100,1
9.21,138,3,4,2,5,62,1
9.79,123,5,9,3,6,84,1
6.13,127,6,9,1,0,79,1
5.57,111,8,8,2,0,63,1
7.42,104,4,7,0,1,100,1
5.57,124,9,2,1,4,70,1
5.11,100,3,9,0,2,97,1
9.25,115,4,6,2,6,61,1
5.25,85,9,4,3,0,94,1
8.97,109,9,7,0,1,89,1
6.07,122,5,4,0,5,88,1
8.09,92,3,10,1,0,92,1
5.07,89,4,3,2,2,62,0
8.93,110,8,8,3,0,70,1
6.22,84,4,10,1,2,86,1
5.01,104,9,2,2,1,91,1
5.77,110,6,9,2,4,76,1
6.45,112,6,5,3,4,68,1
9.83,136,9,7,0,0,97,1
9.31,119,7,2,2,3,91,1
6.82,112,10,7,2,1,99,1
8.13,124,2,5,2,0,62,1
8.4,101,6,7,1,3,90,1
6.17,124,4,1,2,4,91,1
8.58,82,10,8,0,6,82,1
7.49,105,1,3,0,1,92,1
5.11,98,2,9,3,2,67,1
8.44,98,2,1,3,4,61,1
9.34,106,4,8,2,2,65,1
6.01,105,10,8,1,4,98,1
9.85,113,8,8,3,5,73,1
7.77,138,10,2,2,1,69,1
6.99,93,5,5,2,3,70,1
9.17,136,10,6,2,1,76,1
6.17,80,4,5,3,5,97,1
7.29,136,9,9,3,5,77,1
9.58,113,2,7,0,0,69,1
8.72,122,10,4,0,5,66,1
8.6,107,1,7,3,3,75,1
7.67,130,4,10,0,6,66,1
7.75,96,6,10,0,6,66,1
8.98,117,4,7,1,1,99,1
8.16,126,9,2,3,2,81,1
9.54,92,8,8,2,1,82,1
7.01,124,4,2,3,4,68,1
6.36,110,1,6,1,0,70,0
7.92,139,2,4,1,1,71,1
5.21,130,2,7,3,1,70,1
9.27,100,5,5,3,6,93,1
5.74,93,4,8,2,3,85,1
7.25,100,6,6,0,2,60,1
8.04,94,10,5,1,6,82,1
9.69,112,1,1,0,2,60,0
8.3,92,9,10,2,0,98,1
7.34,92,5,9,3,2,79,1
8.37,93,8,5,3,2,96,1
8.62,114,8,10,2,1,82,1
8.54,113,7,4,0,4,89,1
7.69,119,6,2,2,1,67,1
6.27,94,6,7,3,5,72,1
9.92,108,9,4,2,2,86,1
6.53,86,7,8,2,2,78,1
8.66,138,1,5,0,5,78,1
6.48,123,4,10,2,5,92,1
6.36,82,8,6,0,2,88,1
5.64,90,1,1,2,5,100,1
6.33,84,1,4,2,0,88,1
8.72,110,9,5,0,3,72,1
7.66,131,5,2,0,4,83,1
6.44,102,8,4,1,1,72,1
8.8,127,10,9,2,2,93,1
8.21,96,7,3,1,2,87,1
8.3,121,4,2,3,2,72,1
6.96,94,9,7,0,6,79,1
9.56,133,10,9,0,2,74,1
9.67,87,8,4,1,5,65,1
7.43,113,2,1,2,1,70,1
5.31,81,9,1,1,5,61,0
9.91,126,10,2,3,1,85,1
8.74,112,5,8,1,4,80,1
9.63,103,2,7,0,6,60,1
9.6,120,10,9,1,0,70,1
5.28,102,8,7,3,5,99,1
6.81,88,9,10,1,0,78,1
6.96,124,1,6,2,0,72,1
9.58,127,10,9,1,1,64,1
9.01,95,5,9,1,0,85,1
9.06,118,10,1,1,6,81,1
9.36,80,4,2,3,4,86,1
8.54,118,2,8,3,4,62,1
7.94,133,4,7,3,4,100,1
6.37,93,6,5,1,1,85,1
5.99,138,5,10,0,6,64,1
5.33,86,9,3,3,0,92,1
8.6,135,2,8,3,6,76,1
9.26,98,6,2,2,6,74,1
7.53,108,1,3,0,4,71,0
8.56,97,4,6,0,6,75,1
5.7,126,1,6,2,5,61,1
5.83,112,6,4,0,3,86,1
9.99,112,6,4,0,5,80,1
6.33,92,2,10,0,5,78,1
8.33,102,7,4,2,0,64,1
7.22,130,7,4,3,2,99,1
9.36,108,6,9,2,0,93,1
6.72,87,7,5,3,4,79,1
6.99,89,1,5,0,3,89,1
6.99,120,6,1,2,2,68,1
9.54,106,3,2,1,0,92,1
5.61,108,5,8,2,5,87,1
9.4,129,2,9,0,5,84,1
9.1,108,3,6,3,4,77,1
6.34,127,5,4,1,0,83,1
5.2,121,2,4,1,2,61,0
9.65,111,8,1,1,3,66,1
7.07,108,4,1,1,4,96,1
9.63,118,5,6,0,1,97,1
9.64,86,10,8,3,1,100,1
6.77,84,7,4,3,1,81,1
5.08,134,9,3,2,5,67,1
9.17,121,5,3,1,0,68,1
8.24,138,6,4,3,1,72,1
6.12,88,5,7,2,0,72,1
7.49,84,7,7,0,2,60,1
9.34,101,4,4,3,3,95,1
5.16,95,9,9,0,3,99,1
7.47,83,2,3,1,4,91,1
9.24,136,8,6,3,4,83,1
6.21,114,3,3,1,4,96,1
7.08,106,9,6,3,0,81,1
9.08,132,1,2,3,0,77,1
8.39,111,8,1,1,4,70,1
9.11,101,8,5,2,0,89,1
5.49,137,1,10,0,2,65,1
6.18,140,5,1,2,1,71,1
7.14,126,6,3,3,5,97,1
7.68,133,8,3,3,6,83,1
8.25,112,5,3,0,2,68,1
6.92,114,9,6,2,6,64,1
7.14,93,1,3,1,5,95,1
5.52,105,5,8,3,2,99,1
9.75,99,10,6,0,2,63,1
7.39,134,8,9,0,5,87,1
5.66,96,1,8,2,3,73,1
5.82,96,6,3,2,5,86,1
6.93,89,9,10,2,3,66,1
6.24,124,4,8,2,4,77,1
5.51,118,3,8,2,4,76,1
6.49,103,7,10,3,2,95,1
5.12,114,7,6,2,6,85,1
7.79,80,5,4,3,1,86,1
7.39,113,8,5,2,3,81,1
5.65,91,10,3,2,0,94,1
9.66,90,2,5,3,0,62,1
8.36,114,3,6,3,2,85,1
5.87,138,10,4,2,0,65,1
8.98,80,9,9,1,4,60,1
6.14,81,4,8,3,5,62,1
6.76,134,1,8,1,2,67,1
7.55,120,4,2,0,4,99,1
7.6,113,1,2,2,0,78,1
6.9,122,4,5,2,0,73,1
6.07,111,4,7,2,1,95,1
8.59,98,9,7,1,1,78,1
9.26,94,2,4,0,3,70,1
5.24,116,5,6,0,3,81,1
7.71,134,8,7,3,5,66,1
5.5,97,7,2,2,3,61,1
5.25,98,6,8,0,6,72,1
5.98,91,7,5,0,4,69,1
7.82,95,5,8,1,1,63,1
8.28,102,3,5,2,0,92,1
8.93,121,5,9,1,6,71,1
5.47,124,7,7,3,3,80,1
9.64,103,3,7,2,3,83,1
7.21,107,4,9,3,5,73,1
6.61,102,5,6,3,1,83,1
5.41,121,6,10,2,4,76,1
6.98,94,1,8,0,3,71,1
6.5,86,9,10,3,0,100,1
8.06,119,6,5,1,4,65,1
8.99,123,7,5,1,3,69,1
6.18,116,7,4,2,4,61,1
5.5,96,2,7,2,4,79,1
9.19,121,7,2,0,1,72,1
7.14,127,4,5,1,6,100,1
6.66,125,9,5,3,5,94,1
7.27,90,9,1,2,4,71,1
7.4,101,1,7,3,5,90,1
9.48,93,10,8,3,3,69,1
9.17,140,10,2,2,1,87,1
7.31,116,6,2,1,3,94,1
5.03,126,6,10,0,2,87,1
5.67,92,6,7,3,2,98,1
8.72,121,6,8,1,3,73,1
7.99,121,3,1,1,6,84,1
6.1,106,8,7,0,6,73,1
5.47,96,9,10,0,5,92,1
6.26,87,10,5,2,1,77,1
6.19,119,10,8,1,6,60,1
9.07,104,7,1,3,4,61,1
9.43,140,1,5,2,3,68,1
6.64,116,10,6,2,0,87,1
6.54,101,6,6,1,2,70,1
6.81,87,10,6,1,1,63,1
8.92,134,10,9,0,6,93,1
6.05,91,4,9,1,6,98,1
5.36,101,4,8,2,0,77,1
7.39,123,7,9,1,6,84,1
8.13,86,1,4,2,6,92,1
7.76,140,4,5,0,0,77,1
8.3,139,4,1,0,2,81,1
5.54,109,2,8,2,3,76,1
8.37,100,6,10,0,6,84,1
5.06,118,9,1,0,5,100,1
5.41,102,8,4,1,5,89,1
7.34,131,8,5,0,2,86,1
8.56,120,1,4,1,1,60,1
7.71,87,7,6,0,1,95,1
5.01,94,5,2,0,0,88,0
8.14,95,1,2,0,4,80,1
7.89,126,3,9,1,2,83,1
7.09,132,10,2,2,6,97,1
6.82,107,2,4,3,5,85,1
6.93,90,6,2,2,2,94,1
7.73,98,6,4,1,1,78,1
6.33,90,10,10,0,0,92,1
9.46,115,6,1,0,4,88,1
7.02,138,2,5,0,6,61,1
8.14,95,2,7,1,3,73,1
5.22,87,10,1,3,2,71,1
9.32,83,1,1,2,6,82,1
7.65,109,6,6,2,6,60,1
7.66,136,2,3,0,4,87,1
9.61,95,3,2,2,5,86,1
7.83,108,2,1,2,1,68,1
6.67,130,10,9,1,5,75,1
9.28,134,6,1,1,3,91,1
7.92,116,4,2,2,0,61,1
6.18,127,10,1,1,0,82,1
6.71,130,1,7,3,1,79,1
6.52,87,4,5,3,3,71,1
5.4,137,3,10,0,1,92,1
7.62,100,9,1,1,3,63,1
6.35,102,3,5,0,0,67,0
9.72,107,7,4,0,1,85,1
8.4,106,6,5,0,4,68,1
9.31,107,2,9,3,2,81,1
6.83,116,1,2,3,4,63,1
5.56,127,8,10,3,6,76,1
6.38,89,4,1,3,5,63,1
8.76,137,10,3,0,2,98,1
9.31,85,6,4,0,2,79,1
5.19,121,5,1,3,2,90,1
5.35,118,2,6,1,5,83,1
7.9,122,3,1,2,4,72,1
8.34,110,9,1,3,6,85,1
7.92,117,1,7,2,4,70,1
5.93,96,10,4,2,1,88,1
6.46,128,8,1,1,6,64,1
5.79,118,2,8,1,6,94,1
8.53,124,2,1,0,5,97,1
8.52,136,8,1,2,6,95,1
7.9,112,5,7,0,1,78,1
8.66,99,6,10,0,6,66,1
5.92,105,7,2,0,3,85,1
8.43,87,8,2,1,0,64,1
5.5,98,9,5,3,3,88,1
7.2,97,10,4,2,4,93,1
6.28,105,7,6,0,2,65,1
8.27,107,10,7,0,0,69,1
6.7,123,9,8,0,1,97,1
5.97,119,2,1,2,3,81,1
7.45,113,5,8,0,4,72,1
5.43,115,8,5,0,1,74,1
9.87,116,9,6,3,3,91,1
9.93,134,10,8,3,4,65,1
7.88,132,1,7,2,1,75,1
9.94,95,7,10,0,5,82,1
8.72,85,10,3,3,2,84,1
7.85,106,2,5,2,6,98,1
7.79,98,4,6,3,3,90,1
8.91,111,3,5,3,0,96,1
8.53,99,7,4,0,5,82,1
7.7,116,10,8,0,3,72,1
5.62,105,9,5,3,3,74,1
9.13,93,4,1,2,4,69,1
6.5,139,9,6,1,0,84,1
6.33,137,5,8,2,2,89,1
5.08,122,3,1,2,1,80,0
5.38,86,1,5,0,4,60,0
8.36,132,3,1,0,3,68,1
7.7,119,3,3,0,5,71,1
6.96,98,9,5,3,1,60,1
9.13,135,3,10,1,3,92,1
5.37,131,9,5,3,0,61,1
6.46,93,4,6,1,0,85,1
9.86,110,6,2,2,1,64,1
8.73,105,3,7,2,5,81,1
5.31,127,6,3,0,5,70,1
9.19,129,5,1,3,2,96,1
9.5,124,7,7,1,2,96,1
8.43,98,3,6,3,3,90,1
7.64,124,6,5,2,0,62,1
5.8,110,3,1,1,4,92,0
5.4,113,1,6,1,5,81,1
5.27,138,6,2,3,0,69,1
9.48,108,9,5,2,0,80,1
7.2,115,5,2,3,5,90,1
9.1,138,10,3,1,1,77,1
7.19,110,2,2,3,5,71,1
5.98,121,7,1,0,3,93,1
8.52,82,8,5,1,4,96,1
9.27,103,3,5,1,2,84,1
6.22,89,6,4,0,1,97,1
7.14,118,1,4,1,1,91,1
8.96,99,5,5,2,4,99,1
7.91,89,8,2,1,6,81,1
5.4,129,1,8,2,5,90,1
7.68,83,7,5,1,3,84,1
8.07,100,7,6,2,1,83,1
9.17,129,2,8,2,5,70,1
5.53,83,10,2,3,0,74,1
8.03,105,9,6,0,2,91,1
6.84,132,1,10,3,1,79,1
6.18,117,6,8,3,4,98,1
5.46,103,6,3,1,0,95,1
6.49,131,1,2,0,4,60,0
6.64,140,1,6,3,3,79,1
5.12,98,6,3,0,2,78,0
7.04,97,4,5,2,3,80,1
7.73,86,7,5,2,4,85,1
9.51,110,5,3,3,6,68,1
6.9,98,2,4,2,4,75,1
9.56,103,7,3,0,6,89,1
5.79,85,8,2,0,5,69,1
8.8,122,1,6,0,0,66,1
8.56,131,6,4,1,2,81,1
7.69,90,7,8,3,5,89,1
8.45,120,4,1,0,4,76,1
5.76,96,10,5,1,0,68,1
8.68,138,10,10,3,6,94,1
8.91,95,6,8,1,6,99,1
8.99,119,6,1,2,1,71,1
8.81,130,3,5,2,3,67,1
8.46,92,9,5,2,4,67,1
9.25,131,7,6,1,5,82,1
8.32,105,5,4,1,6,76,1
9.45,86,8,7,1,4,74,1
9.34,134,1,6,2,6,93,1
7.51,97,8,8,3,6,66,1
8.45,93,7,2,0,6,93,1
7.07,84,7,6,1,2,84,1
7.48,113,7,8,3,4,97,1
8.43,122,9,3,1,6,95,1
6.04,80,5,4,1,2,68,1
9.75,111,10,2,3,6,60,1
8.75,105,7,7,2,4,73,1
6.11,136,5,3,3,1,96,1
5.04,89,6,1,3,4,78,1
7.37,92,8,9,2,4,97,1
9.66,124,1,8,1,3,83,1
9.98,121,7,5,1,5,83,1
9.94,115,1,9,1,6,68,1
8.92,140,7,8,2,3,96,1
7.86,105,4,8,3,5,61,1
6.01,84,6,6,0,3,87,1
9.38,96,2,10,0,3,60,1
7.31,113,5,1,3,0,74,1
7.98,103,1,1,0,0,68,0
5.67,99,3,1,3,5,76,1
5.48,136,1,9,1,0,75,1
8.04,96,3,10,2,0,63,1
7.86,90,9,1,0,4,86,1
5.6,130,4,8,2,5,89,1
9.34,94,3,5,2,4,83,1
9.08,110,2,5,3,1,71,1
9.37,134,9,1,0,4,82,1
5.81,120,3,8,0,6,93,1
7.57,120,7,1,1,2,62,1
5.25,117,10,6,1,3,88,1
5.14,140,5,5,1,4,60,1
5.26,86,2,6,2,6,79,1
8.25,84,5,9,2,3,90,1
7.23,102,3,6,0,6,79,1
5.54,108,1,8,2,1,85,1
9.34,132,2,4,1,6,91,1
9.52,82,6,10,1,5,99,1
8.05,86,6,5,2,5,95,1
6.66,116,9,3,1,4,99,1
5.84,84,8,6,1,6,65,1
6.65,95,1,8,2,5,91,1
9.55,125,10,6,3,5,66,1
5.15,126,9,3,1,6,92,1
8.43,92,10,9,1,4,92,1
6.62,126,7,7,0,4,82,1
7.44,106,2,8,3,5,94,1
9.85,115,10,9,0,1,79,1
8.97,118,1,7,3,3,61,1
5.49,92,6,5,1,1,68,1
7.93,115,7,2,2,3,61,1
9.95,87,4,6,0,1,62,1
5.59,82,5,6,1,4,63,1
9.94,115,3,10,1,2,78,1
8.94,132,7,2,3,5,97,1
5.05,121,3,10,2,2,99,1
8.13,96,9,10,1,2,97,1
6.09,101,5,3,3,6,60,1
8.8,92,6,10,3,1,92,1
8.22,84,9,8,1,5,99,1
6.86,82,2,10,0,2,95,1
8.79,89,1,2,1,3,89,1
8.29,134,3,9,0,3,85,1
5.49,108,7,2,2,5,75,1
7.39,91,9,8,3,4,83,1
5.46,92,4,7,3,2,84,1
9.59,89,6,1,1,2,84,1
